file_name,NRE,HOMO,LUMO,Dipole_mom,Num_waters,chg_chg,elec5,elec10,delE_hf,delE_dft
INDO_red_0_cutoff_7.5.inp.out,395.80558483122326,-0.3250,0.0497,17.4520,51.0,-1307.4806569295,-74.59398014015474,24.557561889980764,-5546.8665965571,0.31697107610034436
INDO_red_100_cutoff_7.5.inp.out,397.620286721493,-0.2868,0.0820,33.2990,57.0,-1305.4437004214,-70.40483100088655,-8.464274066098742,-6000.9460114424,0.2771363542997278
INDO_red_101_cutoff_7.5.inp.out,395.0559826994941,-0.3032,0.0749,44.2657,55.0,-1306.3800510938,-87.82728279231324,-39.68628277231618,-5849.8926508618,0.29554046139946877
INDO_red_102_cutoff_7.5.inp.out,399.0241836753944,-0.3107,0.0747,47.2073,55.0,-1306.4129199015,-26.841218599437774,-19.47107537019409,-5849.9415062274,0.29919555239939655
INDO_red_103_cutoff_7.5.inp.out,397.5360096046588,-0.3106,0.0685,42.9391,54.0,-1306.3621253450,49.105715337184996,-32.30418396552875,-5773.8402111575,0.30339224850013125
INDO_red_104_cutoff_7.5.inp.out,397.03605112383235,-0.3022,0.0695,42.1152,52.0,-1306.8725560833,-119.72776674713606,-175.91457987697393,-5622.3356057252,0.29420061119981256
INDO_red_105_cutoff_7.5.inp.out,395.9231235700643,-0.3026,0.0713,31.7256,53.0,-1306.7434414657,-3.919868230973042,-91.60847991710654,-5698.1472127023,0.29114614100035396
INDO_red_106_cutoff_7.5.inp.out,396.4858078464947,-0.2856,0.0813,35.0216,54.0,-1306.5438683378,-192.63051824632473,-190.6200473755245,-5773.9823842968,0.27938657789945864
INDO_red_107_cutoff_7.5.inp.out,397.9720970490326,-0.2789,0.0811,31.9473,54.0,-1306.4230723230,-25.184020893475775,10.189026153120775,-5773.8820757909,0.2730490132998966
INDO_red_108_cutoff_7.5.inp.out,397.25459316619,-0.2833,0.0831,40.5288,57.0,-1305.6106035137,4.6379676017209555,5.155121835207101,-6001.1802129802,0.2784781826994731
INDO_red_109_cutoff_7.5.inp.out,395.0071010978532,-0.2971,0.0705,43.6235,59.0,-1305.0242264959,-191.04067693165405,-25.0747896112327,-6152.7025193802,0.2913016342999981
INDO_red_10_cutoff_7.5.inp.out,394.56713194669516,-0.2784,0.0717,30.2202,51.0,-1307.5743297998,306.10854170701134,196.0405826020493,-5546.8986634188,0.2721661960003985
INDO_red_110_cutoff_7.5.inp.out,400.16304705839923,-0.2802,0.0698,49.8724,58.0,-1305.4112564544,56.473717757635704,84.72119719321115,-6077.0699593054,0.27056988179992914
INDO_red_111_cutoff_7.5.inp.out,395.78649501674806,-0.2755,0.0877,44.1224,58.0,-1305.5600217889,77.2825026783865,-15.014213327920967,-6077.1745567659,0.2678294574006941
INDO_red_112_cutoff_7.5.inp.out,395.3196979093637,-0.2810,0.0778,33.9873,54.0,-1307.0885958904,6.68670728107032,-0.23070744998759637,-5774.6383276656,0.2708748168997772
INDO_red_113_cutoff_7.5.inp.out,396.062824351751,-0.2862,0.0838,34.6671,50.0,-1308.1304808873,-48.36513674145387,-21.744204393876693,-5471.4212265387,0.27930004770041705
INDO_red_114_cutoff_7.5.inp.out,398.67406062761756,-0.2635,0.0984,32.0047,53.0,-1307.7368471906,26.177694317859995,-13.36596520685424,-5699.2553096117,0.25832439359965065
INDO_red_115_cutoff_7.5.inp.out,399.82357970772296,-0.2787,0.0819,32.7510,56.0,-1306.6231899219,88.85027739836295,186.48388107289335,-5926.112836811,0.272817686099188
INDO_red_116_cutoff_7.5.inp.out,391.2476587949496,-0.2871,0.0789,32.6286,58.0,-1304.7016712838,-9.73531440299703,126.90492092938231,-6076.3507556684,0.2792418438002642
