file_name,NRE,HOMO,LUMO,Dipole_mom,Num_waters,chg_chg,elec5,elec10,delE_hf,delE_dft
INDI_red_0_cutoff_0.0.inp.out,395.3599500633678,-0.1112,0.1945,5.1595,0.0,-1325.0367746261,-9.800404380501002,-0.8418082069969633,-1686.5038600863,0.11484138890000395
INDI_red_100_cutoff_0.0.inp.out,395.06297218318804,-0.1340,0.1884,3.9612,0.0,-1325.0774610231,15.622924473214173,13.956621124156527,-1686.5212058625,0.13904051510007776
INDI_red_101_cutoff_0.0.inp.out,398.17367227478604,-0.1189,0.1868,3.4899,0.0,-1325.1735336059,32.77152091775182,33.179327492776096,-1686.629576997,0.12686112560004403
INDI_red_102_cutoff_0.0.inp.out,398.5394147521698,-0.1500,0.1754,4.4338,0.0,-1325.0821778234,18.172103321131065,17.913815125615724,-1686.5487273463,0.15471007010000903
INDI_red_103_cutoff_0.0.inp.out,397.07936789292864,-0.1367,0.1903,3.6451,0.0,-1325.1219980897,11.525931764150165,6.972305427583245,-1686.5873460207,0.14070156210004825
INDI_red_104_cutoff_0.0.inp.out,399.974492254102,-0.1216,0.1879,4.9282,0.0,-1325.0057276145,10.441170530107545,16.485355892889533,-1686.4727811213,0.1264622370001689
INDI_red_105_cutoff_0.0.inp.out,396.41134792160983,-0.1408,0.1824,3.9380,0.0,-1324.6907594448,11.277010449415743,12.870021880079705,-1686.1612098038,0.14472654769997462
INDI_red_106_cutoff_0.0.inp.out,400.2203878196785,-0.1300,0.1826,4.3115,0.0,-1324.8815657529,12.125589011195265,12.470524069567333,-1686.3524658392,0.13567876670003898
INDI_red_107_cutoff_0.0.inp.out,396.571678752676,-0.1087,0.1959,5.5073,0.0,-1324.6099075838,13.22148492970747,36.68541639600943,-1686.0833567529,0.11359989190009401
INDI_red_108_cutoff_0.0.inp.out,394.58587765405065,-0.1139,0.1871,4.9456,0.0,-1324.8137977500,15.073326072187557,26.40558586284465,-1686.2727886753,0.11837619760012785
INDI_red_109_cutoff_0.0.inp.out,397.81181058785614,-0.1287,0.1896,4.0816,0.0,-1324.9562247473,17.47174903178149,37.9496023746669,-1686.4241988759,0.1334239592999893
INDI_red_10_cutoff_0.0.inp.out,396.22673938937226,-0.1205,0.1906,4.2256,0.0,-1325.5631965012,7.922229153738948,2.486736547441681,-1687.001363856,0.12789800929999728
INDI_red_110_cutoff_0.0.inp.out,399.1604582808021,-0.1486,0.1731,2.9436,0.0,-1324.8060265458,14.804541453266033,18.281312370820455,-1686.2772301359,0.1524641337000503
INDI_red_111_cutoff_0.0.inp.out,395.90042723405605,-0.1134,0.2090,4.4574,0.0,-1325.1634375381,23.322394469349202,23.14686614500217,-1686.6319318508,0.11958489040011955
INDI_red_112_cutoff_0.0.inp.out,397.00389353367274,-0.1488,0.1900,5.0796,0.0,-1324.7115518817,30.50227764164705,39.510077684148115,-1686.1932690382,0.1526420896000218
INDI_red_113_cutoff_0.0.inp.out,397.09647091001534,-0.1150,0.2072,3.3798,0.0,-1325.1199688017,24.897171378985675,28.529974328883,-1686.5886614657,0.12053803689991582
INDI_red_114_cutoff_0.0.inp.out,397.04322334671616,-0.0938,0.2184,4.3714,0.0,-1324.8143828756,19.426813419664533,38.613269235909534,-1686.2837079502,0.10124003410010118
INDI_red_115_cutoff_0.0.inp.out,395.7237709068316,-0.1119,0.2165,4.1075,0.0,-1324.7655016292,5.787405134380884,18.47363645657774,-1686.2152795105,0.11610285109986762
INDI_red_116_cutoff_0.0.inp.out,397.4224505929427,-0.1221,0.1912,4.3869,0.0,-1324.9227800025,8.097938054597648,25.95423383637152,-1686.3961844021,0.12905461030004517
INDI_red_117_cutoff_0.0.inp.out,396.159294984881,-0.1347,0.1891,3.4587,0.0,-1324.9528217650,9.259337874870148,28.693563712190738,-1686.4048864092,0.14000169270002516
INDI_red_118_cutoff_0.0.inp.out,399.3779856634441,-0.1377,0.1905,3.9610,0.0,-1325.0248232075,16.677035017835987,16.37392302133949,-1686.4987919126,0.14296665450001456
INDI_red_119_cutoff_0.0.inp.out,397.0829026343364,-0.1514,0.1884,4.3568,0.0,-1324.8016286252,6.873342217185708,11.56417574850717,-1686.2853276409,0.15429290420001962
INDI_red_11_cutoff_0.0.inp.out,397.25837373979414,-0.1312,0.1833,4.6868,0.0,-1325.6742083927,-7.974989229893315,-2.4616762246276136,-1687.1262006658,0.13679461210017507
INDI_red_120_cutoff_0.0.inp.out,394.53249531154364,-0.1325,0.1830,3.3331,0.0,-1324.9501168590,11.82082194918839,19.350803008243812,-1686.3914820432,0.13990953329994227
INDI_red_121_cutoff_0.0.inp.out,398.7305184836456,-0.1506,0.1794,2.4302,0.0,-1325.2389159514,7.893423376118339,13.189945300473806,-1686.7023963885,0.1546682719999808
INDI_red_122_cutoff_0.0.inp.out,391.4006650533939,-0.1377,0.1842,2.2130,0.0,-1325.3254753492,22.230734146130654,30.15022909596796,-1686.7708343674,0.1440770409999459
INDI_red_123_cutoff_0.0.inp.out,394.8410110515007,-0.1079,0.2033,3.9204,0.0,-1325.1231369132,15.7941498676363,16.856562871941883,-1686.5813733384,0.11723014929998499
INDI_red_124_cutoff_0.0.inp.out,398.1432928919222,-0.1448,0.1868,4.2985,0.0,-1325.3247610582,1.337780114132196,4.6800455572178175,-1686.7943666112,0.1498176873999455
INDI_red_125_cutoff_0.0.inp.out,394.1788183317979,-0.1464,0.1974,3.8836,0.0,-1324.8640485580,15.116959455255941,18.567078371870988,-1686.3301629735,0.14826919439997255
