file_name,NRE,HOMO,LUMO,Dipole_mom,Num_waters,chg_chg,elec5,elec10,SCF_E,delE_dft
FMNO_red_0_cutoff_7.5.inp.out,1372.8210469983478,-0.0886,0.2697,11.9942,48.0,-1304.2979230399,544.5939885164443,-11.161303984200783,-5791.1801985069,0.103363972900297
FMNO_red_100_cutoff_7.5.inp.out,1372.9205702060449,-0.088,0.2704,11.9684,48.0,-1304.294210922,507.0158154479879,-105.97806695484684,-5791.1761160385,0.1025997643000664
FMNO_red_101_cutoff_7.5.inp.out,1370.0948664462128,-0.0825,0.2736,21.0706,48.0,-1304.1288783049,-533.518733393198,-840.7369617914982,-5791.0211431422,0.0943093671994574
FMNO_red_102_cutoff_7.5.inp.out,1363.2845823323455,-0.1048,0.2588,20.0731,45.0,-1305.2736296006,1484.7333239866248,3109.9616187568513,-5565.6121234527,0.1170131638000384
FMNO_red_103_cutoff_7.5.inp.out,1363.554179849745,-0.0998,0.2583,17.2757,44.0,-1305.522762222,565.6260308358164,-16.201522808553037,-5490.2812912832,0.1092383387995141
FMNO_red_104_cutoff_7.5.inp.out,1369.5822254367947,-0.1144,0.2715,22.7745,46.0,-1305.1652512644,1413.9327473288515,2949.2134036613907,-5640.9132904957,0.1170756251003695
FMNO_red_105_cutoff_7.5.inp.out,1370.782939357708,-0.0988,0.278,18.3097,48.0,-1303.6266550978,-1360.0817805310014,-423.0086424210278,-5790.4996136752,0.1029406989991912
FMNO_red_106_cutoff_7.5.inp.out,1372.5357019466765,-0.0945,0.2698,16.6471,48.0,-1304.3015264292,-889.3847815248937,472.75618241717063,-5791.0595299508,0.1039040192999891
FMNO_red_107_cutoff_7.5.inp.out,1374.963301369993,-0.1015,0.2744,14.6901,48.0,-1303.9347738591,-1186.409508314269,-441.84515488854106,-5790.7047451476,0.1068093741996563
FMNO_red_108_cutoff_7.5.inp.out,1363.9438784867,-0.0879,0.2817,24.8418,49.0,-1303.5874347449,-150.01658293126818,308.3102442540893,-5865.9024646015,0.0989193680998141
FMNO_red_109_cutoff_7.5.inp.out,1361.6254985353842,-0.0644,0.2869,21.571,49.0,-1303.9043533594,-835.9355146346818,-1510.477287165784,-5866.2496708174,0.0852439754999068
FMNO_red_10_cutoff_7.5.inp.out,1369.074897073785,-0.077,0.2941,40.2181,49.0,-1303.7804218126,-29.39475802000053,2357.4935823599817,-5866.1709559785,0.0948950046004029
FMNO_red_110_cutoff_7.5.inp.out,1368.1295488539938,-0.0779,0.2852,23.2873,51.0,-1303.0943370657,-1051.302512101467,-1172.9174263162824,-6016.4767953506,0.0885841961007827
FMNO_red_111_cutoff_7.5.inp.out,1359.4142129299198,-0.06,0.2812,19.4933,45.0,-1305.3807104828,-1649.8808031,-1685.0357339999953,-5565.5610220291,0.0777903172993319
FMNO_red_112_cutoff_7.5.inp.out,1367.8010002775948,-0.1017,0.2694,18.2712,46.0,-1304.6835383902,-387.91739799999664,-1086.3631589000097,-5640.4294997109,0.1074840465007582
FMNO_red_113_cutoff_7.5.inp.out,1364.792032901073,-0.1091,0.2513,23.2829,45.0,-1305.0093129901,604.9342535336447,-605.4225660019678,-5565.2200003118,0.1184179695001148
FMNO_red_114_cutoff_7.5.inp.out,1361.0437728038453,-0.0854,0.2787,24.0618,49.0,-1303.201570479,-1784.1053995498523,-3467.761542098332,-5865.5755839096,0.0947689414997512
FMNO_red_115_cutoff_7.5.inp.out,1362.7018402097176,-0.0838,0.2577,24.1382,50.0,-1303.0312249877,-37.05634791254705,-997.3237026434092,-5940.9665129742,0.096222570300597
FMNO_red_116_cutoff_7.5.inp.out,1359.1005436171754,-0.0651,0.29,18.4496,46.0,-1304.5937939585,-2780.3315250000037,-3801.534837240002,-5640.341384417,0.0738794831995619
FMNO_red_117_cutoff_7.5.inp.out,1368.7442250605284,-0.0893,0.2827,27.3148,48.0,-1303.7952736769,134.5695847195065,-245.98018067533903,-5790.7031424532,0.1035445409997919
FMNO_red_118_cutoff_7.5.inp.out,1376.7904155164877,-0.0779,0.2697,25.2498,45.0,-1304.6277351828,-129.05277955265134,-1790.9335245317372,-5564.9475785223,0.0980666288005522
FMNO_red_119_cutoff_7.5.inp.out,1361.749435623169,-0.078,0.2896,20.2708,47.0,-1303.9685013302,-1174.2073662061998,-947.96417436324,-5715.3029065002,0.0957143936993816
FMNO_red_11_cutoff_7.5.inp.out,1366.707721342298,-0.055,0.3005,38.9573,49.0,-1303.4051140682,-202.20779839999895,383.44656429999566,-5865.7853351086,0.0779957402992295
FMNO_red_120_cutoff_7.5.inp.out,1369.6066671493095,-0.0619,0.2895,29.7955,45.0,-1304.7567911361,20.712976360884575,-1095.4743225671898,-5565.1140748951,0.0834649162006826
