file_name,NRE,HOMO,LUMO,Dipole_mom,Num_waters,chg_chg,elec5,elec10,delE_hf,delE_dft
FMNO_red_0_cutoff_7.5.inp.out,1372.8210469983478,-0.1418,0.1418,13.4890,48.0,-1304.2979230399,544.5918101295955,-11.161259338761779,-5821.1245330506,0.10336397290029709
FMNO_red_100_cutoff_7.5.inp.out,1372.9205702060447,-0.1410,0.1424,13.4692,48.0,-1304.2942109220,507.01733649999477,-105.97838488999986,-5821.1203794669,0.10259976430006645
FMNO_red_101_cutoff_7.5.inp.out,1370.0948664462128,-0.1335,0.1568,23.2643,48.0,-1304.1288783049,-533.5176663621259,-840.7352803276651,-5820.978443997,0.09430936719945748
FMNO_red_102_cutoff_7.5.inp.out,1363.2845823323455,-0.1546,0.1258,22.4021,45.0,-1305.2736296006,1484.724415613395,3109.942959043106,-5594.0430408754,0.11701316380003846
FMNO_red_103_cutoff_7.5.inp.out,1363.554179849745,-0.1489,0.1442,19.4136,44.0,-1305.5227622220,565.6220714773518,-16.20140939857431,-5518.2099109347,0.10923833879951417
FMNO_red_104_cutoff_7.5.inp.out,1369.5822254367947,-0.1594,0.1326,24.4714,46.0,-1305.1652512644,1413.9384030711722,2949.22520053859,-5669.8427434449,0.11707562510036951
FMNO_red_105_cutoff_7.5.inp.out,1370.782939357708,-0.1447,0.1622,20.3517,48.0,-1303.6266550978,-1360.0804204465064,-423.00821941153254,-5820.4493317444,0.10294069899919123
FMNO_red_106_cutoff_7.5.inp.out,1372.5357019466765,-0.1382,0.1489,17.4413,48.0,-1304.3015264292,-889.3812239999976,472.75429139999346,-5821.0055312513,0.10390401929998916
FMNO_red_107_cutoff_7.5.inp.out,1374.963301369993,-0.1465,0.1612,16.0341,48.0,-1303.9347738591,-1186.4095083142706,-441.84515488853714,-5820.6563182963,0.1068093741996563
FMNO_red_108_cutoff_7.5.inp.out,1363.9438784867,-0.1381,0.1520,26.7636,49.0,-1303.5874347449,-150.0179330859155,308.3130190573869,-5896.3505926742,0.09891936809981416
FMNO_red_109_cutoff_7.5.inp.out,1361.6254985353842,-0.1196,0.1499,23.1915,49.0,-1303.9043533594,-835.9363505693588,-1510.4787976415619,-5896.7248300024,0.08524397549990681
FMNO_red_10_cutoff_7.5.inp.out,1369.074897073785,-0.1342,0.1431,44.4662,49.0,-1303.7804218126,-29.394728625241882,2357.491224866442,-5896.6288987829,0.0948950046004029
FMNO_red_110_cutoff_7.5.inp.out,1368.1295488539938,-0.1253,0.1407,23.5093,51.0,-1303.0943370657,-1051.3025121014732,-1172.9174263162395,-6047.9441454282,0.08858419610078272
FMNO_red_111_cutoff_7.5.inp.out,1359.4142129299198,-0.1140,0.1539,20.3077,45.0,-1305.3807104828,-1649.8791532191888,-1685.0340489642538,-5594.0081991932,0.07779031729933195
FMNO_red_112_cutoff_7.5.inp.out,1367.8010002775948,-0.1487,0.1516,19.4083,46.0,-1304.6835383902,-387.9189496695936,-1086.3675043526364,-5669.3673818967,0.10748404650075827
FMNO_red_113_cutoff_7.5.inp.out,1364.792032901073,-0.1561,0.1417,25.5576,45.0,-1305.0093129901,604.9348584672977,-605.4231714239265,-5593.6544722483,0.11841796950011485
FMNO_red_114_cutoff_7.5.inp.out,1361.0437728038453,-0.1355,0.1602,27.2364,49.0,-1303.2015704790,-1784.1089677749148,-3467.768477649236,-5896.0383278354,0.09476894149975124
FMNO_red_115_cutoff_7.5.inp.out,1362.7018402097176,-0.1320,0.1418,26.8575,50.0,-1303.0312249877,-37.05634791254749,-997.3237026434214,-5971.9469240309,0.096222570300597
FMNO_red_116_cutoff_7.5.inp.out,1359.1005436171754,-0.1137,0.1675,19.9590,46.0,-1304.5937939585,-2780.33430533152,-3801.53863877481,-5669.2776684731,0.07387948319956195
FMNO_red_117_cutoff_7.5.inp.out,1368.7442250605284,-0.1432,0.1473,29.7616,48.0,-1303.7952736769,134.570795850617,-245.9823945058247,-5820.6571096672,0.10354454099979193
FMNO_red_118_cutoff_7.5.inp.out,1376.7904155164877,-0.1309,0.1408,27.9708,45.0,-1304.6277351828,-129.0525214473478,-1790.929942668281,-5593.4166286282,0.09806662880055228
FMNO_red_119_cutoff_7.5.inp.out,1361.7494356231687,-0.1329,0.1529,23.2892,47.0,-1303.9685013302,-1174.201495175224,-947.9594345470846,-5744.7716628683,0.09571439369938162
FMNO_red_11_cutoff_7.5.inp.out,1366.7077213422979,-0.1144,0.1445,41.4631,49.0,-1303.4051140682,-202.2073939844029,383.4457974068727,-5896.2304546936,0.07799574029922951
FMNO_red_120_cutoff_7.5.inp.out,1369.6066671493095,-0.1178,0.1486,32.6695,45.0,-1304.7567911361,20.71305921303903,-1095.4787044776135,-5593.5752494527,0.08346491620068264
FMNO_red_121_cutoff_7.5.inp.out,1354.2359181488544,-0.1437,0.1421,27.2562,45.0,-1304.7335645335,1194.2444894239306,1331.4221726851179,-5593.4868520446,0.1049562916996365
FMNO_red_122_cutoff_7.5.inp.out,1359.287057303805,-0.1445,0.1421,33.0568,46.0,-1304.4229402638,-952.164330451708,-3464.0732489148213,-5669.2193138492,0.09973673090007651
FMNO_red_123_cutoff_7.5.inp.out,1364.9797422495506,-0.1170,0.1567,33.0980,46.0,-1304.5416712066,178.25050099828417,701.1687212789633,-5669.2699846305,0.08034406660044624
FMNO_red_124_cutoff_7.5.inp.out,1364.5246910530743,-0.1139,0.1373,21.3301,46.0,-1304.5347291942,-989.4493411399478,-2202.1573575002762,-5669.2523694657,0.08010603660022753
FMNO_red_125_cutoff_7.5.inp.out,1364.5346602526665,-0.1392,0.1366,24.8662,44.0,-1305.1003366345,119.495993503888,-966.6698829291543,-5517.7179112989,0.09940754029958043
FMNO_red_126_cutoff_7.5.inp.out,1358.1441790718386,-0.1113,0.1508,26.2280,41.0,-1306.2669297662,-409.5934263211966,-2212.5270824750583,-5290.8143942136,0.07836660690009012
FMNO_red_127_cutoff_7.5.inp.out,1368.5153299859849,-0.1124,0.1621,28.3425,45.0,-1304.6823168469,-2104.8317930109856,-2677.8364658368127,-5593.4079203632,0.07677004210017913
FMNO_red_128_cutoff_7.5.inp.out,1361.283096380643,-0.1439,0.1571,26.6370,50.0,-1303.2418931866,-1708.1948487520624,-3943.269089013277,-5972.1518252919,0.10449902989967086
