file_name,NRE,HOMO,LUMO,Dipole_mom,Num_waters,chg_chg,elec5,elec10,SCF_E,delE_dft
FMNR_red_0_cutoff_7.5.inp.out,1364.0986891682269,-0.2486,0.127,9.9225,52.0,-1302.0639961217,437.8820766646908,1351.8434762044585,-6091.0961416087,0.2395134500993663
FMNR_red_100_cutoff_7.5.inp.out,1365.7328524772977,-0.2388,0.1562,15.9767,50.0,-1303.0024970901,757.175892465513,1777.191629879112,-5940.9619934024,0.2356733172000531
FMNR_red_101_cutoff_7.5.inp.out,1366.144937535116,-0.2554,0.135,15.0545,46.0,-1304.4676344562,-592.0643434000025,-846.0847812699997,-5640.3464492729,0.2453478603001713
FMNR_red_102_cutoff_7.5.inp.out,1359.1821559621226,-0.2475,0.1469,24.9938,46.0,-1304.8136812381,-41.91695066370621,-192.8524966576638,-5640.6375282735,0.2379027391998533
FMNR_red_103_cutoff_7.5.inp.out,1365.069811668264,-0.2317,0.147,14.1155,48.0,-1303.7169734516,-399.85141444216134,-1295.783333938321,-5790.6145447145,0.2327286563995585
FMNR_red_104_cutoff_7.5.inp.out,1354.774221160733,-0.2455,0.1543,23.9693,53.0,-1302.4201418773,-3019.9810697880584,-5112.049279344137,-6166.9661784629,0.2430404686001566
FMNR_red_105_cutoff_7.5.inp.out,1360.4854507269183,-0.2531,0.1491,20.4249,54.0,-1301.7969343807,-1158.8686267326188,-2549.3424759748063,-6241.791797057,0.2430038298007275
FMNR_red_106_cutoff_7.5.inp.out,1364.2290430823246,-0.2414,0.1244,12.6217,49.0,-1303.9341129221,-2074.4191696434896,-3350.965682098117,-5866.3393549071,0.2322411013001328
FMNR_red_107_cutoff_7.5.inp.out,1370.5754163856682,-0.2397,0.1561,4.0781,48.0,-1303.2813653898,-1770.1269566032088,-3970.517977710286,-5790.1577915299,0.2223001844004102
FMNR_red_108_cutoff_7.5.inp.out,1364.8714129528482,-0.2405,0.1435,9.6906,49.0,-1303.2544307727,-2637.6695694477808,-3889.9961879999632,-5865.6599835105,0.2247629845996925
FMNR_red_109_cutoff_7.5.inp.out,1367.864807607736,-0.2262,0.1619,18.8089,50.0,-1303.1632340367,-1557.4188703293698,-3458.698029174749,-5941.2020714351,0.2102441893002833
FMNR_red_10_cutoff_7.5.inp.out,1362.240718706303,-0.2388,0.152,5.1617,48.0,-1303.7461710003,-1944.9770360677744,-2061.65269403959,-5790.5857642743,0.2357701313994766
FMNR_red_110_cutoff_7.5.inp.out,1364.328378733341,-0.2411,0.138,25.5312,51.0,-1302.6501196594,-2478.3370129666714,-4349.787243639105,-6016.137285288,0.232897564799714
FMNR_red_111_cutoff_7.5.inp.out,1368.2757594244472,-0.2609,0.123,16.3511,50.0,-1303.134426974,-1438.131053867491,-493.27226332724337,-5941.1026062083,0.2458737664001091
FMNR_red_112_cutoff_7.5.inp.out,1359.8928211793796,-0.2415,0.1562,6.5924,48.0,-1303.5943940971,-716.5395849999976,-1313.7835225000176,-5790.4402087999,0.2334841268002492
FMNR_red_113_cutoff_7.5.inp.out,1357.8670568132354,-0.2296,0.1606,25.5529,46.0,-1304.4904323554,-1110.819090057386,-1510.6930766078451,-5640.2863003779,0.2234917573996426
FMNR_red_114_cutoff_7.5.inp.out,1364.0223803781548,-0.2468,0.1422,19.2386,50.0,-1303.0891887194,-2020.7081051089551,-2979.0520489652727,-5941.1049211011,0.2405456181995759
FMNR_red_115_cutoff_7.5.inp.out,1371.0681468045584,-0.2407,0.151,16.9046,52.0,-1302.4844127353,611.0969188037213,541.6078813370716,-6091.5185399396,0.238030194899693
FMNR_red_116_cutoff_7.5.inp.out,1361.1794806876362,-0.2402,0.1256,22.9147,49.0,-1303.4145902058,185.73084040580812,204.53772793497504,-5865.8879909796,0.2329529590997481
FMNR_red_117_cutoff_7.5.inp.out,1353.8376830124485,-0.2712,0.112,26.0185,48.0,-1303.6663025167,-424.1598777887888,-1808.6598864542063,-5790.5713205565,0.2575893551002082
FMNR_red_118_cutoff_7.5.inp.out,1365.3955799201071,-0.2405,0.147,11.1495,49.0,-1303.2961663125,-333.49330911204476,-2380.609192912085,-5865.7626493763,0.2273551984999358
