file_name,NRE,HOMO,LUMO,Dipole_mom,Num_waters,chg_chg,elec5,elec10,delE_hf,delE_dft
FMNR_red_0_cutoff_7.5.inp.out,1364.0986891682269,-0.2872,0.063,10.9995,52.0,-1302.0639961217,51.40409915127917,100.84214878382424,-6123.0554328533,0.2395134500993663
FMNR_red_100_cutoff_7.5.inp.out,1365.7328524772977,-0.2823,0.072,18.3566,50.0,-1303.0024970901,90.79052273857354,130.01506407158382,-5971.9009775753,0.2356733172000531
FMNR_red_101_cutoff_7.5.inp.out,1366.144937535116,-0.2937,0.068,17.8174,46.0,-1304.4676344562,-78.01066242149467,-56.5466885826613,-5669.281050281,0.2453478603001713
FMNR_red_102_cutoff_7.5.inp.out,1359.1821559621226,-0.2867,0.0681,27.5304,46.0,-1304.8136812381,6.064228111572267,-7.823752795253086,-5669.5680995351,0.2379027391998533
FMNR_red_103_cutoff_7.5.inp.out,1365.069811668264,-0.2753,0.0725,15.9082,48.0,-1303.7169734516,-55.28845096517694,-103.0155044942699,-5820.5787151019,0.2327286563995585
FMNR_red_104_cutoff_7.5.inp.out,1354.774221160733,-0.2926,0.0676,25.6345,53.0,-1302.4201418773,-358.1599635674067,-367.2498153610504,-6199.4301778191,0.2430404686001566
FMNR_red_105_cutoff_7.5.inp.out,1360.4854507269183,-0.2935,0.0809,23.5551,54.0,-1301.7969343807,-146.92760623927933,-191.0229512679276,-6274.74155856,0.2430038298007275
FMNR_red_106_cutoff_7.5.inp.out,1364.2290430823246,-0.2789,0.0595,14.3445,49.0,-1303.9341129221,-233.96481074952783,-241.4092675525717,-5896.7585780753,0.2322411013001328
FMNR_red_107_cutoff_7.5.inp.out,1370.5754163856682,-0.2697,0.0796,4.9361,48.0,-1303.2813653898,-213.20462594157303,-291.1095512719652,-5820.0922419748,0.2223001844004102
FMNR_red_108_cutoff_7.5.inp.out,1364.8714129528482,-0.2731,0.0707,11.6735,49.0,-1303.2544307727,-315.56512122031535,-285.1655459280631,-5896.0865470158,0.2247629845996925
FMNR_red_109_cutoff_7.5.inp.out,1367.864807607736,-0.2595,0.0724,20.4203,50.0,-1303.1632340367,-167.67638660306258,-241.51961964226925,-5972.1656699879,0.2102441893002833
FMNR_red_10_cutoff_7.5.inp.out,1362.240718706303,-0.2825,0.0712,7.0067,48.0,-1303.7461710003,-223.3577041517167,-166.94993211941974,-5820.5005902137,0.2357701313994766
FMNR_red_110_cutoff_7.5.inp.out,1364.328378733341,-0.2803,0.0658,27.0558,51.0,-1302.6501196594,-292.7437111252427,-311.5755669245186,-6047.5687148277,0.232897564799714
