file_name,NRE,HOMO,LUMO,Dipole_mom,Num_waters,chg_chg,elec5,elec10,delE_hf,delE_dft
PHEN_red_0_cutoff_7.5.inp.out,268.80975433959213,-0.3231,0.0746,23.4520,47.0,-1309.2178294910,38.37657410171082,17.86060789502847,-5188.6132580161,0.309295896599906
PHEN_red_100_cutoff_7.5.inp.out,271.29395740543663,-0.3268,0.0703,36.2760,54.0,-1306.8738279769,59.92247130829691,-1.7483895681810346,-5718.4400443901,0.311020858500342
PHEN_red_101_cutoff_7.5.inp.out,268.35544735862095,-0.3377,0.0677,41.3126,55.0,-1306.8254568350,12.83594894849754,19.452158646143737,-5794.4460266758,0.32169707370030665
PHEN_red_102_cutoff_7.5.inp.out,272.3425912675193,-0.3386,0.0668,41.0537,53.0,-1307.0776831079,-47.67749142245711,-15.108449774491167,-5642.6937532977,0.3209734435004066
PHEN_red_103_cutoff_7.5.inp.out,266.6277453014414,-0.3252,0.0723,31.1429,55.0,-1306.8663860387,-122.65432570740877,-40.76983359555225,-5794.4940124118,0.3078252719997181
PHEN_red_104_cutoff_7.5.inp.out,269.70448518737487,-0.3189,0.0750,27.8859,55.0,-1306.3415246611,-56.837160170705396,-39.17151204678954,-5793.9131875622,0.302204014599738
PHEN_red_105_cutoff_7.5.inp.out,265.7586834118524,-0.3079,0.0806,31.9345,59.0,-1305.4726275107,2.742477938312958,24.845085343393695,-6097.1994150219,0.29488552619932307
PHEN_red_106_cutoff_7.5.inp.out,266.18153520612884,-0.3235,0.0807,27.2893,59.0,-1304.8790430383,34.113929807126915,31.366388055576728,-6096.6356306504,0.3059760029991594
PHEN_red_107_cutoff_7.5.inp.out,267.5575070821116,-0.3518,0.0766,26.5359,58.0,-1305.7761395718,122.69592623134241,30.30860378303307,-6021.500430957,0.3298853849000807
PHEN_red_108_cutoff_7.5.inp.out,266.2869990477444,-0.3236,0.0819,27.1654,59.0,-1305.0933251836,41.37943535604357,-25.912302731806975,-6096.7946611949,0.308813300899601
PHEN_red_109_cutoff_7.5.inp.out,268.0026345039382,-0.3196,0.0790,27.6001,56.0,-1305.9518473729,-23.09048247769267,-66.55938094823556,-5869.5943495428,0.30603949060059676
PHEN_red_10_cutoff_7.5.inp.out,270.4681737856302,-0.3204,0.0859,22.7969,53.0,-1307.0939316616,115.9409971548873,3.944557123327235,-5642.7288369359,0.30460117520033236
PHEN_red_110_cutoff_7.5.inp.out,265.19043706152127,-0.3402,0.0640,22.0088,52.0,-1307.5308230001,-50.42312127361868,-110.95750430165147,-5567.0624778712,0.32474124079999456
PHEN_red_111_cutoff_7.5.inp.out,267.09285406687445,-0.3248,0.0839,27.7687,56.0,-1306.2184238922,116.83077516154022,-153.56533504315075,-5869.9012961289,0.3078256077997139
PHEN_red_112_cutoff_7.5.inp.out,267.2774300612059,-0.3305,0.0819,19.1794,56.0,-1306.4088224253,72.70282888748173,-131.1520114466485,-5870.0438531695,0.31444791729973076
PHEN_red_113_cutoff_7.5.inp.out,266.1933483130303,-0.3338,0.0777,21.1483,51.0,-1307.8194371672,-1.813107748191809,-100.0245233243124,-5491.3362539153,0.31819628719949833
PHEN_red_114_cutoff_7.5.inp.out,268.13513544430026,-0.3455,0.0767,17.6244,50.0,-1308.4277088124,-25.996188309567422,-154.27933452135375,-5415.8627969103,0.32703032399967924
PHEN_red_115_cutoff_7.5.inp.out,267.7593791500172,-0.3384,0.0787,21.5832,54.0,-1306.7220408636,116.95783549143039,-118.62731500447877,-5718.3175481852,0.32025188079933287
PHEN_red_116_cutoff_7.5.inp.out,269.2653628414209,-0.3248,0.0675,6.0689,56.0,-1306.0774489240,34.74914328236224,3.7060319472677947,-5869.7266693016,0.31197280939977645
PHEN_red_117_cutoff_7.5.inp.out,269.6550996011005,-0.3327,0.0791,5.6004,54.0,-1306.5566038028,18.68028566871876,-47.52985648573431,-5718.0949021416,0.3152227379996475
PHEN_red_118_cutoff_7.5.inp.out,267.7712138428836,-0.2964,0.1046,6.1431,54.0,-1306.4667667332,663.0119995378808,-5.632169489581558,-5718.0430008538,0.28010603839993564
PHEN_red_119_cutoff_7.5.inp.out,269.78093150329653,-0.3386,0.0755,9.8426,56.0,-1306.1144302014,34.22154978857723,19.270751356094397,-5869.7988471543,0.31970989240016934
PHEN_red_11_cutoff_7.5.inp.out,268.29721218919286,-0.3257,0.0710,16.1627,56.0,-1306.3314707145,-21.473852454059674,4.342552926559458,-5870.0122024714,0.3086670189995857
PHEN_red_120_cutoff_7.5.inp.out,266.6080369546541,-0.3079,0.0815,6.1951,57.0,-1305.4573643496,56.035821949759686,9.520196668166632,-5945.1134876342,0.29254136529925745
PHEN_red_121_cutoff_7.5.inp.out,266.0658781591054,-0.3252,0.0737,18.0219,57.0,-1305.7205747693,100.56738803226618,29.231988910737606,-5945.2982236198,0.30967886579946935
PHEN_red_122_cutoff_7.5.inp.out,268.43791333816694,-0.3331,0.0716,20.2433,56.0,-1306.1139483790,136.46064379240374,104.76656450253115,-5869.6580894152,0.3168121240005348
PHEN_red_123_cutoff_7.5.inp.out,265.3373361946604,-0.3161,0.0626,15.0202,54.0,-1307.1014526360,70.99690675529844,41.53644328120824,-5718.6427752445,0.3028146882998044
PHEN_red_124_cutoff_7.5.inp.out,269.9299937514498,-0.3203,0.0657,16.5310,54.0,-1306.8307786386,82.64567089006056,83.98738272175386,-5718.3897121697,0.3025475998001639
PHEN_red_125_cutoff_7.5.inp.out,264.8408416481427,-0.3438,0.0636,14.4533,56.0,-1306.1451100448,-23.512197148205598,6.528399589367489,-5869.7420380166,0.3259782098002688
PHEN_red_126_cutoff_7.5.inp.out,266.96998647952506,-0.3285,0.0749,10.1945,59.0,-1305.0523666562,-89.43655476184895,-11.044571768559528,-6096.772861457,0.31317266009955347
PHEN_red_127_cutoff_7.5.inp.out,268.364485421924,-0.3207,0.0799,12.7814,58.0,-1305.4809159168,39.65054574014413,44.602688870053356,-6021.1891357686,0.3073178161002943
PHEN_red_128_cutoff_7.5.inp.out,268.21369812493555,-0.3166,0.0777,11.8280,57.0,-1305.9583120790,-7.4855190742291295,-16.197008082768882,-5945.6478091129,0.30171329689983395
PHEN_red_129_cutoff_7.5.inp.out,269.99139913625845,-0.3094,0.0711,26.2896,54.0,-1306.6480711643,78.7116115917665,51.584420621981565,-5718.1547210918,0.29766258649942756
PHEN_red_12_cutoff_7.5.inp.out,269.1414070146536,-0.3614,0.0544,21.8704,51.0,-1307.9694802471,-22.9471197541847,24.66291952605432,-5491.508694898,0.3455642480003007
PHEN_red_130_cutoff_7.5.inp.out,265.36343161847867,-0.3444,0.0647,22.2700,51.0,-1308.0606588608,-61.49611896376758,-32.69228204146269,-5491.5621773922,0.3265022484001747
PHEN_red_131_cutoff_7.5.inp.out,269.7634353072797,-0.3068,0.0790,18.9557,51.0,-1308.4501336382,23.043574695618435,-51.97147461292223,-5491.910211167,0.29183644370004913
PHEN_red_132_cutoff_7.5.inp.out,269.2212597337956,-0.3068,0.0801,21.6289,53.0,-1307.3778843269,58.67939201999972,-77.03231772823786,-5642.9443164611,0.2947988373998669
PHEN_red_133_cutoff_7.5.inp.out,268.3510720225034,-0.3089,0.0886,17.3576,52.0,-1308.0540254289,13.67669518415512,-117.89532106597431,-5567.57191974,0.29288704749978933
PHEN_red_134_cutoff_7.5.inp.out,270.1260621859422,-0.3252,0.0702,28.1049,48.0,-1309.0397611934,-115.25830813676137,-85.70610707309572,-5264.3849483183,0.3079969700002039
PHEN_red_135_cutoff_7.5.inp.out,267.1519628462377,-0.3256,0.0652,28.7580,51.0,-1308.1986162041,110.02563220496799,58.661447935897755,-5491.7037174134,0.3112199668003086
