file_name,NRE,HOMO,LUMO,Dipole_mom,Num_waters,chg_chg,elec5,elec10,SCF_E,delE_dft
PHEI_red_0_cutoff_7.5.inp.out,269.80139944741285,-0.1648,0.152,48.2729,52.0,-1307.4146084184,-111.98979576317076,-136.03246451352277,-5566.9733835794,0.1559599673992124
PHEI_red_100_cutoff_7.5.inp.out,269.93170248952754,-0.1622,0.1199,13.7921,56.0,-1306.3301791054,-24.075950461343812,19.515659051732055,-5869.9768983854,0.157818487100485
PHEI_red_101_cutoff_7.5.inp.out,268.3730554909716,-0.1449,0.144,5.3981,57.0,-1305.9511151112,-43.765709552096816,27.83307935284004,-5945.5142003961,0.1384468751002714
PHEI_red_102_cutoff_7.5.inp.out,270.7060908198657,-0.1667,0.1466,8.2407,56.0,-1306.262751936,-88.57503515171105,29.45730497606405,-5869.9196160862,0.155884791900462
PHEI_red_103_cutoff_7.5.inp.out,272.30779753165024,-0.1569,0.1485,18.1031,56.0,-1306.1026758546,-78.01843480723653,50.5942717858042,-5869.7720626658,0.1472109545993589
PHEI_red_104_cutoff_7.5.inp.out,271.0580051327243,-0.1411,0.1644,14.4301,56.0,-1306.1408696092,47.76591794479365,8.87487600653575,-5869.6974898166,0.1339632017998155
PHEI_red_105_cutoff_7.5.inp.out,271.37783454526124,-0.1507,0.1555,9.5493,53.0,-1306.9629809617,-130.2640608937302,11.825320456901752,-5642.5157174806,0.1455007038994153
PHEI_red_106_cutoff_7.5.inp.out,271.32712204567093,-0.145,0.1611,17.727,54.0,-1306.7082131646,-51.328472635918715,37.17006174503813,-5718.2907156229,0.138214933400377
PHEI_red_107_cutoff_7.5.inp.out,269.0669157926989,-0.1234,0.1725,16.5653,54.0,-1306.8201985084,64.56229564010452,56.05838711084335,-5718.3433013599,0.1162350864997279
PHEI_red_108_cutoff_7.5.inp.out,267.3745480282019,-0.1423,0.1453,18.9445,57.0,-1305.7352803328,27.086032622202925,-17.559765682224526,-5945.3659617738,0.1378214462001779
PHEI_red_109_cutoff_7.5.inp.out,266.8907428926448,-0.1448,0.1537,12.5799,56.0,-1306.1801289525,8.285686458058397,-4.945694453114283,-5869.8057203945,0.1381654534998233
PHEI_red_10_cutoff_7.5.inp.out,267.10282047813615,-0.157,0.152,30.3348,54.0,-1306.6106543194,58.19721167320079,50.64744971910745,-5718.1751946602,0.1498078391996387
PHEI_red_110_cutoff_7.5.inp.out,264.1428113342627,-0.1541,0.1476,9.6376,50.0,-1308.3483274534,35.468773468014255,21.189341283739132,-5415.7918601103,0.1475791168995783
PHEI_red_111_cutoff_7.5.inp.out,266.4795094930537,-0.136,0.1491,11.794,53.0,-1307.7084121451,16.221495521117404,12.685931752215383,-5643.1978272163,0.1315455332996862
PHEI_red_112_cutoff_7.5.inp.out,266.33667391032145,-0.1221,0.1652,10.3341,55.0,-1307.150224886,225.413535807853,-31.161028377726517,-5794.7587349201,0.116517148299863
PHEI_red_113_cutoff_7.5.inp.out,267.74028987252825,-0.1304,0.1729,9.5152,49.0,-1308.8635451125,-33.64946971817128,-53.052904364917545,-5340.2780367937,0.1249144813000384
PHEI_red_114_cutoff_7.5.inp.out,269.0099729221695,-0.1456,0.1593,7.1591,52.0,-1307.9066205838,-121.42261088039264,22.718361000807956,-5567.430955644,0.1406583713996951
PHEI_red_115_cutoff_7.5.inp.out,267.05539894998304,-0.1536,0.1541,22.3273,52.0,-1307.4208871666,-120.09282507260284,81.01671191223116,-5566.959675145,0.1483710155007429
PHEI_red_116_cutoff_7.5.inp.out,268.2492640621659,-0.1398,0.1595,24.5806,54.0,-1306.9150270922,45.880676949419126,37.27070296010698,-5718.5836184125,0.1326053490993217
PHEI_red_117_cutoff_7.5.inp.out,270.8558241479216,-0.1491,0.1553,32.0825,56.0,-1306.0358045258,-121.6118547518681,45.732871700718626,-5869.7492511137,0.143799381899953
PHEI_red_118_cutoff_7.5.inp.out,268.5477753964063,-0.1263,0.1624,27.3388,58.0,-1305.0691322034,83.51777738219161,-64.44370450903016,-6020.7985417856,0.1198020327001359
PHEI_red_119_cutoff_7.5.inp.out,272.40964332137185,-0.1398,0.1579,29.8667,54.0,-1306.7706969032,-40.459818113146135,-220.30479343046724,-5718.3837872412,0.1344501585999751
PHEI_red_11_cutoff_7.5.inp.out,265.1207115122651,-0.1517,0.1544,42.2292,58.0,-1305.0372236942,32.9134206562538,26.21565091544063,-6020.6983891371,0.1434396328004368
PHEI_red_120_cutoff_7.5.inp.out,271.3056685413176,-0.1364,0.1533,29.9643,53.0,-1306.8748708443,-160.23131084962273,-134.30553826958925,-5642.3725677978,0.13041618690022
PHEI_red_121_cutoff_7.5.inp.out,269.0212541277819,-0.1455,0.157,28.1812,53.0,-1307.1851458892,5.193039854820866,26.639829337088145,-5642.7303257741,0.1378124901002593
PHEI_red_122_cutoff_7.5.inp.out,269.68558472357984,-0.151,0.1375,18.3529,56.0,-1306.0656232104,-86.87258185444288,60.13526963815225,-5869.7179081368,0.1437277095001263
PHEI_red_123_cutoff_7.5.inp.out,267.5310585062923,-0.1361,0.1661,26.457,51.0,-1307.9233365304,11.086240687019096,-47.20128753701406,-5491.3529088014,0.1281751963006172
PHEI_red_124_cutoff_7.5.inp.out,268.93350730810084,-0.1348,0.1575,20.4425,54.0,-1306.6951172471,-13.96112820960359,-11.20321015132858,-5718.2805201924,0.1293098125006508
PHEI_red_125_cutoff_7.5.inp.out,268.6448477665381,-0.1305,0.1639,28.6981,51.0,-1307.5933501585,-145.0393168423954,-134.9364014594818,-5491.057803318,0.1257353110995609
PHEI_red_126_cutoff_7.5.inp.out,264.4316090705662,-0.1423,0.1541,31.5757,50.0,-1308.3910580967,-36.546322581471976,-174.5802933978509,-5415.8154253619,0.1373980992993893
PHEI_red_127_cutoff_7.5.inp.out,266.80292828188607,-0.1524,0.1558,31.8414,50.0,-1307.8154118112,-173.88599720882024,-90.64713680019128,-5415.2806102711,0.1464394107006228
PHEI_red_128_cutoff_7.5.inp.out,268.26704856080363,-0.1362,0.1749,35.4013,54.0,-1306.6806300816,-54.44432648294843,-216.94227133925895,-5718.2856921353,0.1280128795006021
PHEI_red_129_cutoff_7.5.inp.out,266.55304324823277,-0.1384,0.1721,33.0844,53.0,-1306.8349942512,143.518182573259,-22.334332936605627,-5642.3826912196,0.1327164717004052
PHEI_red_12_cutoff_7.5.inp.out,267.8929257421881,-0.1377,0.1741,31.5535,57.0,-1305.4938089758,148.61658371154016,22.054711675717485,-5945.1450088545,0.1302865270999973
PHEI_red_130_cutoff_7.5.inp.out,266.91709896929086,-0.1349,0.1642,43.4264,54.0,-1306.5869642379,240.97950428060236,-8.820938785965868,-5718.2015662363,0.127432444200167
PHEI_red_131_cutoff_7.5.inp.out,271.71756327705396,-0.1483,0.1482,43.251,54.0,-1306.8525820433,102.39959609961714,57.16433646782269,-5718.4251227594,0.1401506197998969
PHEI_red_132_cutoff_7.5.inp.out,268.65569276976714,-0.1651,0.1446,37.5979,56.0,-1305.6758054425,-48.47240603031526,-20.82110116765903,-5869.3471867291,0.1580516394005826
