file_name,NRE,HOMO,LUMO,Dipole_mom,Num_waters,chg_chg,elec5,elec10,delE_hf,delE_dft
PHEO_red_0_cutoff_7.5.inp.out,256.75561045656065,-0.2924,0.0744,10.3907,56.0,-1305.3738280234,145.19318084598999,59.159296038580415,-5868.5339036628,0.27732684209968284
PHEO_red_100_cutoff_7.5.inp.out,255.48838273051845,-0.3223,0.0661,29.3037,55.0,-1306.0245832240,-139.98194108282428,-223.22492717609845,-5793.2218073352,0.30376918010006193
PHEO_red_101_cutoff_7.5.inp.out,258.45965755044847,-0.3077,0.0656,29.9496,53.0,-1306.4661440137,-102.5264863394647,-314.4098920895194,-5641.6006075219,0.2886196422005014
PHEO_red_102_cutoff_7.5.inp.out,252.42876492916554,-0.2991,0.0622,37.4787,54.0,-1306.2381704524,-244.69052819570587,-500.88437952286677,-5717.4673730169,0.2864500458008479
PHEO_red_103_cutoff_7.5.inp.out,258.8410538518534,-0.3026,0.0709,33.6302,53.0,-1306.4749237353,-289.00670644762357,-424.50759533728126,-5641.703627817,0.2857003399003588
PHEO_red_104_cutoff_7.5.inp.out,255.002136857652,-0.3251,0.0734,34.0089,57.0,-1305.1343589438,-75.18525096721048,42.13826691064353,-5944.3633538839,0.3060820037999292
PHEO_red_105_cutoff_7.5.inp.out,257.49118949527514,-0.2881,0.0752,36.8442,59.0,-1304.0619392006,278.91880923126814,172.23264609939537,-6095.3997499996,0.271943766700133
PHEO_red_106_cutoff_7.5.inp.out,258.57819758004104,-0.3131,0.0477,27.1185,55.0,-1305.9117047789,-32.8158481993319,24.841958392078052,-5793.0657895735,0.2903205144002641
PHEO_red_107_cutoff_7.5.inp.out,253.3288076963395,-0.3009,0.0826,24.1813,54.0,-1306.1646861273,194.73904224615382,164.9216818748784,-5717.2770552982,0.2835523858993838
PHEO_red_108_cutoff_7.5.inp.out,261.3518434967831,-0.3165,0.0675,24.1941,53.0,-1306.5212056790,177.92310839661695,152.5753384929353,-5641.5782422034,0.29646995160055667
PHEO_red_109_cutoff_7.5.inp.out,252.38144206942275,-0.2982,0.0834,31.3014,55.0,-1306.2059317985,404.9695105974542,520.8194164968583,-5793.3781952608,0.2766757632998633
PHEO_red_10_cutoff_7.5.inp.out,257.5094138080596,-0.2981,0.0786,20.5392,56.0,-1305.8101993205,28.460509798029356,-70.07594585260911,-5869.063442664,0.28212974929920165
PHEO_red_110_cutoff_7.5.inp.out,260.3463152751482,-0.2886,0.0707,28.7502,53.0,-1306.8984169352,390.71017775957955,417.65849671190364,-5641.982610414,0.2729197872995428
PHEO_red_111_cutoff_7.5.inp.out,253.29223960736408,-0.2928,0.0853,30.1624,54.0,-1306.3808920515,101.1928908524148,204.4007671655674,-5717.6053484875,0.27416527430068527
PHEO_red_112_cutoff_7.5.inp.out,257.53618548796027,-0.2858,0.0791,37.5487,53.0,-1306.7676383583,10.597341643044984,-59.38623066977648,-5641.8617629497,0.26766317900001013
PHEO_red_113_cutoff_7.5.inp.out,253.89724928172703,-0.2972,0.0532,47.2079,52.0,-1307.2414584861,-167.03781515644644,-318.5719079875254,-5566.3155762659,0.27907085429978906
PHEO_red_114_cutoff_7.5.inp.out,257.899272624383,-0.2841,0.0692,47.4513,56.0,-1305.7124111083,151.370885521948,-11.376534047197117,-5868.9598864022,0.27050343560040346
PHEO_red_115_cutoff_7.5.inp.out,254.9712406598413,-0.3248,0.0661,41.3999,57.0,-1305.2742227897,142.99257628891115,227.07695249994288,-5944.5214572584,0.3044328084006338
PHEO_red_116_cutoff_7.5.inp.out,257.1992151896746,-0.3081,0.0774,38.9442,59.0,-1304.5805787698,149.0647772749825,203.76412082102985,-6095.8613883347,0.28893705049995333
PHEO_red_117_cutoff_7.5.inp.out,260.65958646347895,-0.3022,0.0682,28.4631,57.0,-1305.3465865121,210.38569321328788,355.8025386393777,-5944.5354169668,0.2879519109001194
PHEO_red_118_cutoff_7.5.inp.out,256.33686384741276,-0.3132,0.0732,27.2391,58.0,-1304.7875145060,-14.217637106897998,89.70911062349457,-6020.0202637358,0.2971904391006319
PHEO_red_119_cutoff_7.5.inp.out,257.72573057486244,-0.3102,0.0814,34.6621,53.0,-1306.9371766321,434.8400503467248,399.2362266950609,-5642.0251191361,0.2897497852000015
PHEO_red_11_cutoff_7.5.inp.out,256.2984349749558,-0.3165,0.0692,10.5909,57.0,-1305.3307991165,-180.11777946449376,-213.68822172598624,-5944.5321726673,0.29741491460026737
PHEO_red_120_cutoff_7.5.inp.out,257.5898065703383,-0.3137,0.0617,37.6978,56.0,-1305.6284774994,122.07069581163748,248.119868324228,-5868.9022751061,0.29798844200013264
PHEO_red_121_cutoff_7.5.inp.out,255.1569398710627,-0.2972,0.0745,39.1218,57.0,-1305.0963803951,315.87293578307845,346.49497017032104,-5944.3410974965,0.28257696950004174
PHEO_red_122_cutoff_7.5.inp.out,256.87723688192705,-0.2960,0.0677,33.6832,59.0,-1304.3640018620,332.96644696435453,398.79458428704373,-6095.6520135395,0.2782860035003978
PHEO_red_123_cutoff_7.5.inp.out,255.36593424108446,-0.3148,0.0776,26.9753,58.0,-1305.1232279306,415.7855332353508,508.03721073482586,-6020.339001214,0.2968093817007684
