file_name,NRE,HOMO,LUMO,Dipole_mom,Num_waters,chg_chg,elec5,elec10,delE_hf,delE_dft
PHER_red_0_cutoff_0.0.inp.out,261.7745035826375,-0.1098,0.2173,9.4690,0.0,-1324.3612472404,-17.748404407865774,-55.960803962440544,-1629.4178945262,0.10868001369999547
PHER_red_100_cutoff_0.0.inp.out,258.88374886607545,-0.0986,0.2149,9.9830,0.0,-1325.1261386205,22.413755675488858,-94.9946134212141,-1630.1536978374,0.09535639780006022
PHER_red_101_cutoff_0.0.inp.out,256.1494510348068,-0.1216,0.1979,9.5639,0.0,-1325.0905207877,-218.65668117854958,-171.16015298682126,-1630.1448657637,0.11901012540010925
PHER_red_102_cutoff_0.0.inp.out,258.41984823298765,-0.1089,0.1903,8.8471,0.0,-1324.5315924594,-190.42323653091682,-84.69730794561931,-1629.5734034586,0.10653485729994827
PHER_red_103_cutoff_0.0.inp.out,257.9300119387272,-0.1169,0.1913,9.2784,0.0,-1324.6580547328,68.89288354016908,-13.436851394491885,-1629.6843370214,0.11150216440000804
PHER_red_104_cutoff_0.0.inp.out,257.51197036706105,-0.0818,0.2073,9.0569,0.0,-1324.6989166929,-5.578786263938058,-26.261094774358412,-1629.7042363614,0.07882546759992692
PHER_red_105_cutoff_0.0.inp.out,258.3488100323358,-0.0811,0.2140,8.4058,0.0,-1324.9099584286,-35.0667237819279,-83.77368832724564,-1629.9106645954,0.07900855930006401
PHER_red_106_cutoff_0.0.inp.out,257.2562030169131,-0.0886,0.2117,9.3800,0.0,-1324.7182150348,-182.18464924016706,-257.8159270511877,-1629.729870687,0.08575321509988498
PHER_red_107_cutoff_0.0.inp.out,258.62203063188736,-0.0805,0.2157,9.1559,0.0,-1324.5920804209,-83.2383180371043,-183.40419982754625,-1629.5959641017,0.07771655549981915
PHER_red_108_cutoff_0.0.inp.out,256.45309236390716,-0.0951,0.1937,8.7335,0.0,-1324.8030242412,12.054821883668671,-15.883105381557215,-1629.8276553847,0.09251846339998337
PHER_red_109_cutoff_0.0.inp.out,256.2641941905645,-0.0787,0.2152,8.9717,0.0,-1325.4042442931,50.21288935682155,85.85713092845508,-1630.4159426442,0.07734499660000438
PHER_red_10_cutoff_0.0.inp.out,256.78059310285624,-0.1101,0.1920,8.4033,0.0,-1325.2120791145,199.91963727076126,314.72675127527,-1630.2410211528,0.10698346100002709
PHER_red_110_cutoff_0.0.inp.out,257.78686720133317,-0.0882,0.2185,9.4486,0.0,-1324.8860429161,5.213538651388981,-24.747916020912996,-1629.9057137496,0.08476330820008116
